"alias","logo","rating","time"
"Niklas","animation/logo_136_animation_22.svg","Okay","Timestamp(seconds=1616960275, nanoseconds=156000000)"
"Tim","animation/logo_14_animation_5.svg","Okay","Timestamp(seconds=1616959859, nanoseconds=19000000)"
"Jakob","animation/logo_14_animation_25.svg","Very Bad","Timestamp(seconds=1616951058, nanoseconds=964000000)"
"Tim","animation/logo_121_animation_7.svg","Bad","Timestamp(seconds=1616961407, nanoseconds=918000000)"
"Jakob","animation/logo_49_animation_16.svg","Very Bad","Timestamp(seconds=1616926629, nanoseconds=677000000)"
"Kim","animation/logo_119_animation_40.svg","Very Bad","Timestamp(seconds=1616955163, nanoseconds=333000000)"
"Jakob","animation/logo_127_animation_15.svg","Very Bad","Timestamp(seconds=1616961342, nanoseconds=714000000)"
"Tim","animation/logo_37_animation_38.svg","Good","Timestamp(seconds=1616959126, nanoseconds=389000000)"
"Rebecca","animation/logo_170_animation_46.svg","Okay","Timestamp(seconds=1617027071, nanoseconds=517000000)"
"Rebecca","animation/logo_176_animation_16.svg","Very Bad","Timestamp(seconds=1617018383, nanoseconds=296000000)"
"Jakob","animation/logo_179_animation_10.svg","Bad","Timestamp(seconds=1617014959, nanoseconds=547000000)"
"Jonathan","animation/logo_50_animation_17.svg","Bad","Timestamp(seconds=1616956023, nanoseconds=707000000)"
"Jakob","animation/logo_111_animation_40.svg","Okay","Timestamp(seconds=1616927670, nanoseconds=140000000)"
"Jonathan","animation/logo_2_animation_4.svg","Very Bad","Timestamp(seconds=1616965791, nanoseconds=572000000)"
"Niklas","animation/logo_97_animation_20.svg","Bad","Timestamp(seconds=1616960540, nanoseconds=581000000)"
"Jakob","animation/logo_150_animation_14.svg","Very Bad","Timestamp(seconds=1617013931, nanoseconds=34000000)"
"Kathi","animation/logo_152_animation_36.svg","Very Bad","Timestamp(seconds=1617128357, nanoseconds=919000000)"
"Kim","animation/logo_8_animation_38.svg","Very Bad","Timestamp(seconds=1616955348, nanoseconds=148000000)"
"Jonathan","animation/logo_98_animation_34.svg","Very Bad","Timestamp(seconds=1616962584, nanoseconds=799000000)"
"Jakob","animation/logo_68_animation_38.svg","Bad","Timestamp(seconds=1616951300, nanoseconds=382000000)"
"Kim","animation/logo_1_animation_2.svg","Very Bad","Timestamp(seconds=1616956471, nanoseconds=625000000)"
"Kim","animation/logo_16_animation_43.svg","Very Bad","Timestamp(seconds=1616956943, nanoseconds=694000000)"
"Kim","animation/logo_90_animation_13.svg","Very Bad","Timestamp(seconds=1616956442, nanoseconds=805000000)"
"Sarah","animation/logo_157_animation_49.svg","Good","Timestamp(seconds=1617026010, nanoseconds=335000000)"
"Jonathan","animation/logo_27_animation_8.svg","Very Bad","Timestamp(seconds=1616955822, nanoseconds=250000000)"
"Jakob","animation/logo_45_animation_31.svg","Very Bad","Timestamp(seconds=1616926293, nanoseconds=440000000)"
"Jakob","animation/logo_97_animation_32.svg","Good","Timestamp(seconds=1616961787, nanoseconds=965000000)"
"Tim","animation/logo_42_animation_26.svg","Very Bad","Timestamp(seconds=1616962713, nanoseconds=482000000)"
"Jakob","animation/logo_16_animation_3.svg","Very Bad","Timestamp(seconds=1616926983, nanoseconds=114000000)"
"Tim","animation/logo_49_animation_11.svg","Very Bad","Timestamp(seconds=1616959494, nanoseconds=508000000)"
"Jakob","animation/logo_45_animation_46.svg","Bad","Timestamp(seconds=1616962984, nanoseconds=67000000)"
"Jonathan","animation/logo_73_animation_26.svg","Very Bad","Timestamp(seconds=1616956010, nanoseconds=982000000)"
"","animation/logo_86_animation_35.svg","Very Bad","Timestamp(seconds=1616957819, nanoseconds=184000000)"
"Kim","animation/logo_63_animation_44.svg","Very Bad","Timestamp(seconds=1616954081, nanoseconds=728000000)"
"Jakob","animation/logo_122_animation_33.svg","Okay","Timestamp(seconds=1616947158, nanoseconds=859000000)"
"Tim","animation/logo_84_animation_11.svg","Bad","Timestamp(seconds=1616957730, nanoseconds=845000000)"
"Tim","animation/logo_119_animation_30.svg","Okay","Timestamp(seconds=1616953415, nanoseconds=27000000)"
"Jonathan","animation/logo_144_animation_3.svg","Very Bad","Timestamp(seconds=1617016669, nanoseconds=40000000)"
"Tim","animation/logo_142_animation_8.svg","Bad","Timestamp(seconds=1616961180, nanoseconds=646000000)"
"Simon","animation/logo_162_animation_7.svg","Very Bad","Timestamp(seconds=1617128427, nanoseconds=303000000)"
"Tim","animation/logo_117_animation_30.svg","Very Bad","Timestamp(seconds=1616960964, nanoseconds=517000000)"
"Jakob","animation/logo_70_animation_20.svg","Very Bad","Timestamp(seconds=1616965101, nanoseconds=451000000)"
"Jakob","animation/logo_94_animation_24.svg","Good","Timestamp(seconds=1616950920, nanoseconds=79000000)"
"Kim","animation/logo_107_animation_44.svg","Bad","Timestamp(seconds=1616957640, nanoseconds=352000000)"
"Sarah","animation/logo_169_animation_30.svg","Okay","Timestamp(seconds=1617025210, nanoseconds=440000000)"
"Sabrina","animation/logo_120_animation_44.svg","Okay","Timestamp(seconds=1616929812, nanoseconds=619000000)"
"Kim","animation/logo_81_animation_17.svg","Bad","Timestamp(seconds=1616957685, nanoseconds=775000000)"
"Jonathan","animation/logo_2_animation_17.svg","Very Bad","Timestamp(seconds=1616956064, nanoseconds=243000000)"
"Vinoagrarius","animation/logo_104_animation_25.svg","Good","Timestamp(seconds=1616997213, nanoseconds=841000000)"
"Jonathan","animation/logo_58_animation_36.svg","Very Bad","Timestamp(seconds=1616962384, nanoseconds=343000000)"
"Jonathan","animation/logo_95_animation_5.svg","Very Bad","Timestamp(seconds=1616965371, nanoseconds=432000000)"
"Jakob","animation/logo_161_animation_36.svg","Okay","Timestamp(seconds=1617051182, nanoseconds=431000000)"
"Jonathan","animation/logo_67_animation_38.svg","Bad","Timestamp(seconds=1616956124, nanoseconds=418000000)"
"Niklas","animation/logo_64_animation_48.svg","Very Good","Timestamp(seconds=1617015539, nanoseconds=753000000)"
"Jakob","animation/logo_180_animation_25.svg","Bad","Timestamp(seconds=1617051732, nanoseconds=332000000)"
"Tim","animation/logo_58_animation_14.svg","Bad","Timestamp(seconds=1616959488, nanoseconds=963000000)"
"Jonathan","animation/logo_100_animation_12.svg","Okay","Timestamp(seconds=1616960607, nanoseconds=49000000)"
"Jonathan","animation/logo_28_animation_3.svg","Very Bad","Timestamp(seconds=1616960862, nanoseconds=885000000)"
"Tim","animation/logo_96_animation_41.svg","Okay","Timestamp(seconds=1617000433, nanoseconds=636000000)"
"Tim","animation/logo_86_animation_48.svg","Okay","Timestamp(seconds=1616955898, nanoseconds=417000000)"
"Jakob","animation/logo_87_animation_35.svg","Bad","Timestamp(seconds=1616965107, nanoseconds=75000000)"
"Jakob","animation/logo_171_animation_18.svg","Very Bad","Timestamp(seconds=1617014336, nanoseconds=820000000)"
"Jakob","animation/logo_62_animation_14.svg","Okay","Timestamp(seconds=1616950659, nanoseconds=81000000)"
"Phillip","animation/logo_11_animation_13.svg","Bad","Timestamp(seconds=1616962028, nanoseconds=924000000)"
"Jakob","animation/logo_142_animation_48.svg","Very Bad","Timestamp(seconds=1616951524, nanoseconds=708000000)"
"Niklas","animation/logo_103_animation_1.svg","Bad","Timestamp(seconds=1616960553, nanoseconds=520000000)"
"Tim","animation/logo_64_animation_23.svg","Bad","Timestamp(seconds=1617004670, nanoseconds=905000000)"
"Kim","animation/logo_124_animation_35.svg","Bad","Timestamp(seconds=1616957171, nanoseconds=956000000)"
"Jakob","animation/logo_52_animation_14.svg","Bad","Timestamp(seconds=1616965406, nanoseconds=159000000)"
"Kim","animation/logo_16_animation_45.svg","Very Bad","Timestamp(seconds=1616953843, nanoseconds=68000000)"
"Tim","animation/logo_170_animation_43.svg","Bad","Timestamp(seconds=1617004909, nanoseconds=853000000)"
"Jakob","animation/logo_166_animation_24.svg","Bad","Timestamp(seconds=1617050292, nanoseconds=59000000)"
"Kathi","animation/logo_164_animation_8.svg","Very Good","Timestamp(seconds=1617128770, nanoseconds=46000000)"
"Jakob","animation/logo_179_animation_45.svg","Bad","Timestamp(seconds=1617012672, nanoseconds=953000000)"
"Tim","animation/logo_115_animation_45.svg","Bad","Timestamp(seconds=1616959824, nanoseconds=667000000)"
"Tim","animation/logo_89_animation_17.svg","Bad","Timestamp(seconds=1617004236, nanoseconds=959000000)"
"Jakob","animation/logo_15_animation_48.svg","Bad","Timestamp(seconds=1616962876, nanoseconds=482000000)"
"Jakob","animation/logo_1_animation_22.svg","Very Bad","Timestamp(seconds=1616963376, nanoseconds=168000000)"
"Jakob","animation/logo_150_animation_30.svg","Very Bad","Timestamp(seconds=1617050011, nanoseconds=682000000)"
"Kim","animation/logo_36_animation_31.svg","Bad","Timestamp(seconds=1616955181, nanoseconds=845000000)"
"Jakob","animation/logo_156_animation_15.svg","Bad","Timestamp(seconds=1617052318, nanoseconds=981000000)"
"Jakob","animation/logo_123_animation_31.svg","Bad","Timestamp(seconds=1617013871, nanoseconds=184000000)"
"Jakob","animation/logo_166_animation_1.svg","Okay","Timestamp(seconds=1617049440, nanoseconds=525000000)"
"Sarah","animation/logo_123_animation_37.svg","Very Bad","Timestamp(seconds=1616954995, nanoseconds=313000000)"
"Vinoagrarius","animation/logo_95_animation_21.svg","Bad","Timestamp(seconds=1616997352, nanoseconds=718000000)"
"","animation/logo_177_animation_23.svg","Bad","Timestamp(seconds=1617025058, nanoseconds=970000000)"
"Jonathan","animation/logo_89_animation_27.svg","Very Bad","Timestamp(seconds=1616961610, nanoseconds=65000000)"
"Jakob","animation/logo_117_animation_9.svg","Bad","Timestamp(seconds=1616926715, nanoseconds=392000000)"
"Tim","animation/logo_58_animation_15.svg","Okay","Timestamp(seconds=1616960952, nanoseconds=601000000)"
"Niklas","animation/logo_95_animation_49.svg","Very Good","Timestamp(seconds=1616960371, nanoseconds=57000000)"
"Kim","animation/logo_74_animation_20.svg","Bad","Timestamp(seconds=1617007457, nanoseconds=514000000)"
"Jakob","animation/logo_41_animation_4.svg","Bad","Timestamp(seconds=1616947566, nanoseconds=538000000)"
"Kim","animation/logo_51_animation_26.svg","Very Bad","Timestamp(seconds=1616952942, nanoseconds=488000000)"
"Selina","animation/logo_159_animation_10.svg","Okay","Timestamp(seconds=1617128869, nanoseconds=41000000)"
"Niklas","animation/logo_57_animation_29.svg","Very Good","Timestamp(seconds=1616960290, nanoseconds=792000000)"
"","animation/logo_86_animation_35.svg","Very Bad","Timestamp(seconds=1616957811, nanoseconds=10000000)"
"Rebecca","animation/logo_151_animation_30.svg","Bad","Timestamp(seconds=1617012299, nanoseconds=109000000)"
"Kim","animation/logo_54_animation_21.svg","Bad","Timestamp(seconds=1617007402, nanoseconds=692000000)"
"Kim","animation/logo_51_animation_3.svg","Good","Timestamp(seconds=1616954421, nanoseconds=675000000)"
"Jakob","animation/logo_12_animation_14.svg","Very Bad","Timestamp(seconds=1616925501, nanoseconds=529000000)"
"Jonathan","animation/logo_29_animation_7.svg","Bad","Timestamp(seconds=1616965978, nanoseconds=863000000)"
"Jakob","animation/logo_159_animation_16.svg","Bad","Timestamp(seconds=1617013288, nanoseconds=435000000)"
"Sarah","animation/logo_134_animation_3.svg","Bad","Timestamp(seconds=1616963179, nanoseconds=865000000)"
"Jakob","animation/logo_187_animation_44.svg","Okay","Timestamp(seconds=1617014324, nanoseconds=695000000)"
"Kim","animation/logo_90_animation_32.svg","Bad","Timestamp(seconds=1616958020, nanoseconds=130000000)"
"Vinoagrarius","animation/logo_188_animation_45.svg","Good","Timestamp(seconds=1617128319, nanoseconds=205000000)"
"Tim","animation/logo_110_animation_1.svg","Bad","Timestamp(seconds=1616959882, nanoseconds=205000000)"
"Jonathan","animation/logo_133_animation_24.svg","Very Bad","Timestamp(seconds=1616965997, nanoseconds=389000000)"
"Niklas","animation/logo_66_animation_27.svg","Very Good","Timestamp(seconds=1616959387, nanoseconds=522000000)"
"Jonathan","animation/logo_137_animation_36.svg","Very Bad","Timestamp(seconds=1616965402, nanoseconds=604000000)"
"Jonathan","animation/logo_177_animation_45.svg","Very Bad","Timestamp(seconds=1617016412, nanoseconds=888000000)"
"Jakob","animation/logo_145_animation_17.svg","Okay","Timestamp(seconds=1617013250, nanoseconds=503000000)"
"Jakob","animation/logo_86_animation_37.svg","Very Bad","Timestamp(seconds=1616959378, nanoseconds=843000000)"
"Jakob","animation/logo_61_animation_30.svg","Bad","Timestamp(seconds=1616962246, nanoseconds=323000000)"
"Tim","animation/logo_73_animation_4.svg","Very Bad","Timestamp(seconds=1617003398, nanoseconds=577000000)"
"Sarah","animation/logo_180_animation_23.svg","Okay","Timestamp(seconds=1617027054, nanoseconds=844000000)"
"Jakob","animation/logo_41_animation_25.svg","Very Bad","Timestamp(seconds=1616951612, nanoseconds=973000000)"
"Tim","animation/logo_14_animation_43.svg","Bad","Timestamp(seconds=1617007705, nanoseconds=154000000)"
"Jonathan","animation/logo_91_animation_1.svg","Bad","Timestamp(seconds=1616960793, nanoseconds=727000000)"
"Sarah","animation/logo_117_animation_7.svg","Good","Timestamp(seconds=1616963081, nanoseconds=7000000)"
"","animation/logo_29_animation_48.svg","Okay","Timestamp(seconds=1616961534, nanoseconds=671000000)"
"Kim","animation/logo_14_animation_44.svg","Very Bad","Timestamp(seconds=1616955648, nanoseconds=312000000)"
"Jakob","animation/logo_5_animation_45.svg","Very Bad","Timestamp(seconds=1616959509, nanoseconds=49000000)"
"Rebecca","animation/logo_72_animation_45.svg","Bad","Timestamp(seconds=1616973331, nanoseconds=975000000)"
"Jakob","animation/logo_166_animation_36.svg","Bad","Timestamp(seconds=1617014331, nanoseconds=626000000)"
"Tim","animation/logo_87_animation_42.svg","Very Bad","Timestamp(seconds=1617004049, nanoseconds=102000000)"
"Jakob","animation/logo_14_animation_2.svg","Very Bad","Timestamp(seconds=1616964975, nanoseconds=737000000)"
"Jakob","animation/logo_181_animation_15.svg","Okay","Timestamp(seconds=1617051478, nanoseconds=494000000)"
"Jana","animation/logo_35_animation_23.svg","Bad","Timestamp(seconds=1616961566, nanoseconds=468000000)"
"Rebecca","animation/logo_54_animation_31.svg","Bad","Timestamp(seconds=1616971712, nanoseconds=33000000)"
"Niklas","animation/logo_135_animation_48.svg","Very Bad","Timestamp(seconds=1616960472, nanoseconds=985000000)"
"Jakob","animation/logo_153_animation_43.svg","Okay","Timestamp(seconds=1617052188, nanoseconds=328000000)"
"Rebecca","animation/logo_164_animation_13.svg","Okay","Timestamp(seconds=1617014819, nanoseconds=595000000)"
"Rebecca","animation/logo_160_animation_2.svg","Bad","Timestamp(seconds=1617012196, nanoseconds=165000000)"
"Jakob","animation/logo_178_animation_29.svg","Okay","Timestamp(seconds=1617051160, nanoseconds=413000000)"
"Phillip","animation/logo_76_animation_33.svg","Bad","Timestamp(seconds=1616963661, nanoseconds=362000000)"
"Kim","animation/logo_51_animation_30.svg","Okay","Timestamp(seconds=1616953683, nanoseconds=122000000)"
"Vinoagrarius","animation/logo_10_animation_16.svg","Okay","Timestamp(seconds=1616997691, nanoseconds=38000000)"
"Jonathan","animation/logo_146_animation_46.svg","Very Bad","Timestamp(seconds=1617016437, nanoseconds=442000000)"
"Jakob","animation/logo_48_animation_39.svg","Bad","Timestamp(seconds=1616951402, nanoseconds=2000000)"
"Jakob","animation/logo_153_animation_25.svg","Okay","Timestamp(seconds=1617013887, nanoseconds=935000000)"
"Kim","animation/logo_127_animation_42.svg","Very Bad","Timestamp(seconds=1616956641, nanoseconds=990000000)"
"Jakob","animation/logo_157_animation_1.svg","Very Bad","Timestamp(seconds=1617051298, nanoseconds=254000000)"
"Niklas","animation/logo_113_animation_38.svg","Bad","Timestamp(seconds=1616959226, nanoseconds=371000000)"
"Jonathan","animation/logo_39_animation_1.svg","Very Bad","Timestamp(seconds=1616962398, nanoseconds=722000000)"
"Jakob","animation/logo_5_animation_0.svg","Bad","Timestamp(seconds=1616951426, nanoseconds=929000000)"
"larissa","animation/logo_78_animation_3.svg","Okay","Timestamp(seconds=1617194011, nanoseconds=37000000)"
"Jonathan","animation/logo_78_animation_39.svg","Very Bad","Timestamp(seconds=1616962179, nanoseconds=413000000)"
"Michelle","animation/logo_106_animation_47.svg","Good","Timestamp(seconds=1617008904, nanoseconds=397000000)"
"Jakob","animation/logo_58_animation_39.svg","Okay","Timestamp(seconds=1616950531, nanoseconds=551000000)"
"Rebecca","animation/logo_154_animation_5.svg","Bad","Timestamp(seconds=1617015739, nanoseconds=950000000)"
"Jakob","animation/logo_127_animation_33.svg","Very Bad","Timestamp(seconds=1616950056, nanoseconds=599000000)"
"Sarah","animation/logo_44_animation_33.svg","Good","Timestamp(seconds=1616962978, nanoseconds=328000000)"
"Kim","animation/logo_78_animation_18.svg","Very Bad","Timestamp(seconds=1616953729, nanoseconds=449000000)"
"Niklas","animation/logo_153_animation_24.svg","Bad","Timestamp(seconds=1617013771, nanoseconds=808000000)"
"Jakob","animation/logo_176_animation_37.svg","Bad","Timestamp(seconds=1617051688, nanoseconds=279000000)"
"Tim","animation/logo_100_animation_13.svg","Okay","Timestamp(seconds=1616952612, nanoseconds=129000000)"
"Sarah","animation/logo_128_animation_14.svg","Very Bad","Timestamp(seconds=1616957294, nanoseconds=282000000)"
"Niklas","animation/logo_63_animation_6.svg","Good","Timestamp(seconds=1616960343, nanoseconds=732000000)"
"Kim","animation/logo_2_animation_40.svg","Okay","Timestamp(seconds=1616957397, nanoseconds=171000000)"
"Tim","animation/logo_99_animation_21.svg","Bad","Timestamp(seconds=1616952381, nanoseconds=313000000)"
"Lara","animation/logo_34_animation_20.svg","Okay","Timestamp(seconds=1616929781, nanoseconds=959000000)"
"Rebecca","animation/logo_73_animation_45.svg","Bad","Timestamp(seconds=1616973729, nanoseconds=331000000)"
"Kim","animation/logo_82_animation_26.svg","Very Bad","Timestamp(seconds=1616957958, nanoseconds=293000000)"
"Kim","animation/logo_99_animation_25.svg","Bad","Timestamp(seconds=1616956680, nanoseconds=583000000)"
"Jakob","animation/logo_31_animation_49.svg","Okay","Timestamp(seconds=1616961273, nanoseconds=9000000)"
"Kathi","animation/logo_171_animation_34.svg","Good","Timestamp(seconds=1617128446, nanoseconds=426000000)"
"Jakob","animation/logo_10_animation_18.svg","Bad","Timestamp(seconds=1616961118, nanoseconds=196000000)"
"Rebecca","animation/logo_153_animation_39.svg","Bad","Timestamp(seconds=1617017849, nanoseconds=90000000)"
"Rebecca","animation/logo_150_animation_45.svg","Very Bad","Timestamp(seconds=1617015230, nanoseconds=823000000)"
"Phillip","animation/logo_111_animation_2.svg","Bad","Timestamp(seconds=1616958737, nanoseconds=50000000)"
"Sarah","animation/logo_126_animation_46.svg","Very Bad","Timestamp(seconds=1616954971, nanoseconds=335000000)"
"Jakob","animation/logo_71_animation_31.svg","Okay","Timestamp(seconds=1616961862, nanoseconds=884000000)"
"Rebecca","animation/logo_161_animation_34.svg","Okay","Timestamp(seconds=1617014979, nanoseconds=325000000)"
"Tim","animation/logo_104_animation_18.svg","Bad","Timestamp(seconds=1616954841, nanoseconds=560000000)"
"Rebecca","animation/logo_154_animation_23.svg","Okay","Timestamp(seconds=1617018060, nanoseconds=558000000)"
"Tim","animation/logo_137_animation_9.svg","Bad","Timestamp(seconds=1616957764, nanoseconds=948000000)"
"Jakob","animation/logo_187_animation_33.svg","Good","Timestamp(seconds=1617013359, nanoseconds=876000000)"
"Simon","animation/logo_175_animation_23.svg","Okay","Timestamp(seconds=1617128255, nanoseconds=715000000)"
"Phillip","animation/logo_82_animation_44.svg","Very Bad","Timestamp(seconds=1616958639, nanoseconds=18000000)"
"Jonathan","animation/logo_42_animation_13.svg","Okay","Timestamp(seconds=1616962173, nanoseconds=729000000)"
"Jonathan","animation/logo_32_animation_13.svg","Okay","Timestamp(seconds=1616960695, nanoseconds=423000000)"
"Sarah","animation/logo_173_animation_41.svg","Very Bad","Timestamp(seconds=1617026061, nanoseconds=231000000)"
"Niklas","animation/logo_180_animation_21.svg","Very Good","Timestamp(seconds=1617015382, nanoseconds=758000000)"
"Jonathan","animation/logo_119_animation_3.svg","Very Bad","Timestamp(seconds=1616965955, nanoseconds=540000000)"
"Niklas","animation/logo_140_animation_2.svg","Okay","Timestamp(seconds=1616960451, nanoseconds=682000000)"
"Jakob","animation/logo_118_animation_14.svg","Very Bad","Timestamp(seconds=1616959654, nanoseconds=490000000)"
"Jakob","animation/logo_180_animation_26.svg","Very Bad","Timestamp(seconds=1617017354, nanoseconds=266000000)"
"Kim","animation/logo_3_animation_45.svg","Bad","Timestamp(seconds=1616956216, nanoseconds=868000000)"
"Jakob","animation/logo_85_animation_37.svg","Good","Timestamp(seconds=1616926780, nanoseconds=60000000)"
"Niklas","animation/logo_34_animation_4.svg","Very Good","Timestamp(seconds=1616926239, nanoseconds=985000000)"
"Jakob","animation/logo_108_animation_7.svg","Okay","Timestamp(seconds=1616947408, nanoseconds=496000000)"
"Tim","animation/logo_8_animation_43.svg","Very Bad","Timestamp(seconds=1616961276, nanoseconds=384000000)"
"Rebecca","animation/logo_14_animation_41.svg","Bad","Timestamp(seconds=1616971840, nanoseconds=979000000)"
"Rebecca","animation/logo_150_animation_31.svg","Very Bad","Timestamp(seconds=1617014994, nanoseconds=860000000)"
"Tim","animation/logo_60_animation_12.svg","Very Bad","Timestamp(seconds=1616959350, nanoseconds=267000000)"
"Jakob","animation/logo_180_animation_30.svg","Bad","Timestamp(seconds=1617050279, nanoseconds=286000000)"
"Tim","animation/logo_9_animation_16.svg","Bad","Timestamp(seconds=1617004854, nanoseconds=233000000)"
"Jonathan","animation/logo_157_animation_19.svg","Very Bad","Timestamp(seconds=1617016236, nanoseconds=97000000)"
"Jakob","animation/logo_92_animation_20.svg","Okay","Timestamp(seconds=1616926362, nanoseconds=912000000)"
"Tim","animation/logo_135_animation_25.svg","Bad","Timestamp(seconds=1616965464, nanoseconds=722000000)"
"Kim","animation/logo_69_animation_28.svg","Bad","Timestamp(seconds=1616955872, nanoseconds=635000000)"
"Phillip","animation/logo_123_animation_8.svg","Bad","Timestamp(seconds=1616959556, nanoseconds=637000000)"
"Jonathan","animation/logo_85_animation_7.svg","Very Bad","Timestamp(seconds=1616961594, nanoseconds=921000000)"
"Tim","animation/logo_10_animation_21.svg","Very Bad","Timestamp(seconds=1616962844, nanoseconds=962000000)"
"Jakob","animation/logo_76_animation_10.svg","Okay","Timestamp(seconds=1616925670, nanoseconds=610000000)"
"Kim","animation/logo_30_animation_3.svg","Bad","Timestamp(seconds=1616954883, nanoseconds=597000000)"
"Jakob","animation/logo_57_animation_7.svg","Very Bad","Timestamp(seconds=1616959810, nanoseconds=924000000)"
"Phillip","animation/logo_88_animation_45.svg","Bad","Timestamp(seconds=1616963274, nanoseconds=857000000)"
